company,name,country,criticality_raw,criticality_snapshot_relative,vulnerability,contribution,stages
resonac,Resonac,jp,0.00279213,0.152908,0.457024,0.0000179518,gases
tnsc,Taiyo Nippon Sanso,jp,0.0030248075,0.16565,0.457024,0.0000194478,gases
airproducts,Air Products,us,0.002326775,0.127423,0.457024,0.0000149599,gases
skmaterials,SK Materials,kr,0.00186142,0.101938,0.457024,0.0000119679,gases
shinko,Shinko Electric,jp,0.0022811016,0.124922,0.317401,0.0000202597,substrates
samsungem,Samsung Electro-Mech,kr,0.0021056322,0.115312,0.317401,0.0000187012,substrates
ats,AT&S,de,0.0022811016,0.124922,0.317401,0.0000202597,substrates
asmi,ASM International,nl,0.0029744839,0.162894,2.668431,0.000262039,depo
kokusai,Kokusai Electric,jp,0.0019829893,0.108596,2.668431,0.0001746927,depo
naura,NAURA,cn,0.0043269268,0.236959,2.563777,0.000395455,depo|etch
amec,AMEC,cn,0.0016171665,0.088562,2.459124,0.000154953,etch
hitachiht,Hitachi High-Tech,jp,0.0024856723,0.136125,2.774284,0.00020928,metro|etch
ebara,Ebara,jp,0.0028252214,0.15472,0.64714,0.0000476617,cmp
entegris,Entegris,us,0.0011300886,0.061888,0.64714,0.0000190647,cmp
onto,Onto Innovation,us,0.0017740712,0.097155,3.089443,0.0001314657,metro
nova,Nova,il,0.0013305534,0.072866,3.089443,0.0000985993,metro
huahong,Hua Hong,cn,0.0036162036,0.198037,2.175567,0.000400575,mature_fab
vis,Vanguard (VIS),tw,0.0018081018,0.099019,2.175567,0.0002002875,mature_fab
nexchip,Nexchip,cn,0.0021697221,0.118822,2.175567,0.000240345,mature_fab
sonysemi,Sony Semiconductor,jp,0.0036162036,0.198037,2.175567,0.000400575,mature_fab
renesas,Renesas,jp,0.0045010754,0.246496,1.971934,0.0004832537,analog|mature_fab
bosch,Bosch,de,0.0082273717,0.450562,2.196312,0.0010567734,mature_fab|m_auto
nanya,Nanya,tw,0.0023864182,0.130689,5.346239,0.000793603,memory_fab
winbond,Winbond,tw,0.0015909454,0.087126,5.346239,0.0005290687,memory_fab
google,Google (TPU/Cloud),us,0.0360464573,1.974041,2.703815,0.0061367964,logic_ai|m_ai
amazon,Amazon (AWS),us,0.0312658821,1.712238,2.703815,0.0050070282,logic_ai|m_ai
cambricon,Cambricon,cn,0.0012443922,0.068148,3.931835,0.0003673691,logic_ai
biren,Biren,cn,0.0004666471,0.025555,3.931835,0.0001377634,logic_ai
onsemi,onsemi,us,0.0022513576,0.123293,1.768301,0.0002279112,analog
adi,Analog Devices,us,0.008683808,0.475558,1.768301,0.000879086,analog
nxp,NXP,nl,0.0022513576,0.123293,1.768301,0.0002279112,analog
microchip,Microchip,us,0.0019297351,0.10568,1.768301,0.0001953524,analog
spil,SPIL,tw,0.0108138695,0.592209,1.084097,0.000159687,adv_pkg
pti,Powertech (PTI),tw,0.0081104021,0.444156,1.084097,0.0001197653,adv_pkg
utac,UTAC,sg,0.0013040723,0.071416,1.547124,0.0000379818,osat
kyec,KYEC,tw,0.0017387631,0.095221,1.547124,0.0000506424,osat
inari,Inari Amertron,my,0.0013040723,0.071416,1.547124,0.0000379818,osat
quanta,Quanta,tw,0.0285386649,1.562886,1.861266,0.0034270452,systems
wistron,Wistron,tw,0.0380515532,2.083847,1.861266,0.0045693936,systems
supermicro,Supermicro,us,0.0158548138,0.86827,1.861266,0.001903914,systems
luxshare,Luxshare,cn,0.0190257766,1.041924,1.861266,0.0022846968,systems
microsoft,Microsoft (Azure),us,0.0233743264,1.280067,1.475796,0.0029588371,m_ai
meta,Meta,us,0.0200351369,1.0972,1.475796,0.0025361461,m_ai
alibaba,Alibaba Cloud,cn,0.0050087842,0.2743,1.475796,0.0006340365,m_ai
tesla,Tesla,us,0.0024230598,0.132696,2.217057,0.0003265714,m_auto
denso,Toyota / Denso,jp,0.0078749444,0.431262,2.217057,0.001061357,m_auto
vw,VW Group,de,0.0060576495,0.33174,2.217057,0.0008164284,m_auto
xiaomi,Xiaomi,cn,0.0126042944,0.690259,2.646427,0.0027070649,m_consumer
lenovo,Lenovo,cn,0.0126042944,0.690259,2.646427,0.0027070649,m_consumer
hp,HP,us,0.0088230061,0.483181,2.646427,0.0018949454,m_consumer
