incident_id,primary_record,record_count,records,severity,days_ago,direction,channel,operational,profile,persistence_R,severity_intensity_g,exposure_source,scored,unscored_reason,source_vector
kumamoto_m71_2026_07,h2607_kumamoto,8,h2607_kumamoto:primary|p260729_web3084:update|p260729_web57b8:recovery|p260729_web1ae0:update|p260729_webaa64:update|p260728_usgtgb9:update|p260729_web6934:update|p260804_man0804:recovery,7,38,adverse,both,true,outage_recovery,0.48333333,0.7,curated,true,,mature_fab=0.1015|analog=0.15225|m_auto=0.11841667|m_consumer=0.05075
p260714_fed4132,p260714_fed4132,1,p260714_fed4132:primary,3,52,mitigating,downstream,false,strategic_context,0,0,none,false,not_operational,
p260728_web4420,p260728_web4420,1,p260728_web4420:primary,2,38,adverse,downstream,false,strategic_context,0,0,none,false,not_operational,
p260728_webef0b,p260728_webef0b,1,p260728_webef0b:primary,3,38,mixed,upstream,false,strategic_context,0,0,none,false,not_operational,
p260729_web2ef3,p260729_web2ef3,1,p260729_web2ef3:primary,2,37,mitigating,downstream,false,strategic_context,0,0,none,false,not_operational,
p260729_web807f,p260729_web807f,1,p260729_web807f:primary,2,37,mitigating,upstream,false,strategic_context,0,0,none,false,not_operational,
p260729_webbe69,p260729_webbe69,1,p260729_webbe69:primary,2,37,mitigating,downstream,false,strategic_context,0,0,none,false,not_operational,
p260729_webfdb0,p260729_webfdb0,1,p260729_webfdb0:primary,3,37,mixed,downstream,false,strategic_context,0,0,none,false,not_operational,
p260807_man0807,p260807_man0807,1,p260807_man0807:primary,4,28,adverse,downstream,true,market_exponential,0.64966945,0.4,curated,true,,memory_fab=0.20789423|hbm=0.07796033|systems=0.1169405|m_consumer=0.12993389
p260819_man0819,p260819_man0819,1,p260819_man0819:primary,3,16,mixed,downstream,false,strategic_context,0,0,none,false,not_operational,
p260820_web147f,p260820_web147f,1,p260820_web147f:primary,2,15,mitigating,upstream,false,strategic_context,0,0,none,false,not_operational,
p260820_web17aa,p260820_web17aa,1,p260820_web17aa:primary,2,15,mitigating,upstream,false,strategic_context,0,0,none,false,not_operational,
p260820_web771c,p260820_web771c,1,p260820_web771c:primary,3,15,mixed,both,false,strategic_context,0,0,none,false,not_operational,
p260821_web8e15,p260821_web8e15,1,p260821_web8e15:primary,1,14,mitigating,upstream,false,strategic_context,0,0,none,false,not_operational,
x1609_armsb,x1609_armsb,1,x1609_armsb:primary,3,3651,mixed,downstream,false,strategic_context,0,0,none,false,not_operational,
x1610_note7,x1610_note7,1,x1610_note7:primary,4,3615,mixed,upstream,false,strategic_context,0,0,none,false,not_operational,
x1610_qcomnxp,x1610_qcomnxp,1,x1610_qcomnxp:primary,3,3599,mixed,downstream,false,strategic_context,0,0,none,false,not_operational,
x1612_aixtron,x1612_aixtron,1,x1612_aixtron:primary,3,3563,adverse,downstream,false,strategic_context,0,0,none,false,not_operational,
x1701_pcast,x1701_pcast,1,x1701_pcast:primary,3,3528,adverse,downstream,false,strategic_context,0,0,none,false,not_operational,
x1703_dramcycle,x1703_dramcycle,1,x1703_dramcycle:primary,5,3444,adverse,downstream,true,acute_exponential,0,0.5,legacy_equal_split,true,,memory_fab=0|m_consumer=0|systems=0
x1708_twblackout,x1708_twblackout,1,x1708_twblackout:primary,3,3307,adverse,downstream,false,strategic_context,0,0,none,false,not_operational,
x1709_toshibamem,x1709_toshibamem,1,x1709_toshibamem:primary,3,3271,mixed,downstream,false,strategic_context,0,0,none,false,not_operational,
x1710_dramtight,x1710_dramtight,1,x1710_dramtight:primary,4,3229,adverse,downstream,true,acute_exponential,0,0.4,legacy_equal_split,true,,substrates=0|osat=0|m_consumer=0
x1710_euv,x1710_euv,1,x1710_euv:primary,3,3243,mitigating,downstream,false,strategic_context,0,0,none,false,not_operational,
x1712_micronumc,x1712_micronumc,1,x1712_micronumc:primary,3,3195,adverse,downstream,false,strategic_context,0,0,none,false,not_operational,
x1712_ndrcdram,x1712_ndrcdram,1,x1712_ndrcdram:primary,3,3178,adverse,downstream,false,strategic_context,0,0,none,false,not_operational,
x1803_broadcomqcom,x1803_broadcomqcom,1,x1803_broadcomqcom:primary,3,3098,adverse,downstream,false,strategic_context,0,0,none,false,not_operational,
x1804_zte,x1804_zte,1,x1804_zte:primary,6,3063,adverse,downstream,true,acute_exponential,0,0.6,legacy_equal_split,true,,design=0|logic_ai=0|analog=0|systems=0|m_consumer=0
x1806_mlcc,x1806_mlcc,1,x1806_mlcc:primary,4,3017,adverse,downstream,true,acute_exponential,0,0.4,legacy_equal_split,true,,analog=0|osat=0|m_auto=0|systems=0
x1807_qcomnxpfail,x1807_qcomnxpfail,1,x1807_qcomnxpfail:primary,3,2962,mixed,downstream,false,strategic_context,0,0,none,false,not_operational,
x1807_zteoff,x1807_zteoff,1,x1807_zteoff:primary,4,2975,mitigating,downstream,true,acute_exponential,0,0.4,legacy_equal_split,true,,design=0|logic_ai=0|analog=0|systems=0
x1808_gf7nm,x1808_gf7nm,1,x1808_gf7nm:primary,4,2930,adverse,downstream,false,strategic_context,0,0,none,false,not_operational,
x1808_ndaa,x1808_ndaa,1,x1808_ndaa:primary,4,2944,adverse,downstream,false,strategic_context,0,0,none,false,not_operational,
x1808_tsmcvirus,x1808_tsmcvirus,1,x1808_tsmcvirus:primary,6,2954,adverse,downstream,true,acute_exponential,0,0.6,legacy_equal_split,true,,adv_fab=0|mature_fab=0
x1810_jinhua,x1810_jinhua,1,x1810_jinhua:primary,5,2867,adverse,both,true,acute_exponential,0,0.5,legacy_equal_split,true,,memory_fab=0|depo=0|etch=0|eda=0
x1810_memdown,x1810_memdown,1,x1810_memdown:primary,3,2895,mixed,downstream,false,strategic_context,0,0,none,false,not_operational,
x1811_anprm,x1811_anprm,1,x1811_anprm:primary,3,2846,adverse,downstream,false,strategic_context,0,0,none,false,not_operational,
x1811_micronindict,x1811_micronindict,1,x1811_micronindict:primary,3,2864,adverse,downstream,false,strategic_context,0,0,none,false,not_operational,
x1812_meng,x1812_meng,1,x1812_meng:primary,3,2834,adverse,downstream,false,strategic_context,0,0,none,false,not_operational,
x1901_applewarn,x1901_applewarn,1,x1901_applewarn:primary,3,2802,mixed,upstream,false,strategic_context,0,0,none,false,not_operational,
x1904_samsungcut,x1904_samsungcut,1,x1904_samsungcut:primary,3,2684,mixed,upstream,false,strategic_context,0,0,none,false,not_operational,
x1905_armgoogle,x1905_armgoogle,1,x1905_armgoogle:primary,6,2664,adverse,downstream,true,acute_exponential,0,0.6,legacy_equal_split,true,,research=0|eda=0|design=0|logic_ai=0
x1905_huawei_el,x1905_huawei_el,1,x1905_huawei_el:primary,8,2668,adverse,both,true,acute_exponential,0,0.8,legacy_equal_split,true,,design=0|eda=0|logic_ai=0|analog=0|systems=0|m_consumer=0
x1906_kioxiaoutage,x1906_kioxiaoutage,1,x1906_kioxiaoutage:primary,6,2638,adverse,downstream,true,acute_exponential,0,0.6,legacy_equal_split,true,,memory_fab=0|m_consumer=0
x1907_jpkr,x1907_jpkr,1,x1907_jpkr:primary,6,2622,adverse,downstream,true,acute_exponential,0,0.6,legacy_equal_split,true,,resist=0|gases=0|memory_fab=0|adv_fab=0
x1908_huaweitgl,x1908_huaweitgl,1,x1908_huaweitgl:primary,5,2573,adverse,both,true,acute_exponential,0,0.5,legacy_equal_split,true,,design=0|logic_ai=0|m_consumer=0
x1908_whitelist,x1908_whitelist,1,x1908_whitelist:primary,5,2590,adverse,downstream,true,acute_exponential,0,0.5,legacy_equal_split,true,,resist=0|gases=0|metro=0|memory_fab=0
x1911_euvlicense,x1911_euvlicense,1,x1911_euvlicense:primary,5,2499,adverse,both,true,acute_exponential,0,0.5,legacy_equal_split,true,,litho=0|adv_fab=0
x1912_5gpull,x1912_5gpull,1,x1912_5gpull:primary,3,2469,adverse,downstream,false,strategic_context,0,0,none,false,not_operational,
x2002_covidcn,x2002_covidcn,1,x2002_covidcn:primary,5,2398,adverse,downstream,true,acute_exponential,0,0.5,legacy_equal_split,true,,osat=0|substrates=0|systems=0|m_consumer=0
x2003_lockdowns,x2003_lockdowns,1,x2003_lockdowns:primary,6,2361,adverse,downstream,true,acute_exponential,0,0.6,legacy_equal_split,true,,m_auto=0|analog=0|mature_fab=0|systems=0
x2005_fdpr,x2005_fdpr,1,x2005_fdpr:primary,7,2303,adverse,both,true,acute_exponential,0,0.7,legacy_equal_split,true,,adv_fab=0|design=0|logic_ai=0|m_consumer=0
x2005_tsmcaz,x2005_tsmcaz,1,x2005_tsmcaz:primary,3,2303,mitigating,downstream,false,strategic_context,0,0,none,false,not_operational,
x2008_fdpr2,x2008_fdpr2,1,x2008_fdpr2:primary,8,2209,adverse,both,true,acute_exponential,0,0.8,legacy_equal_split,true,,adv_fab=0|mature_fab=0|memory_fab=0|design=0|logic_ai=0|m_consumer=0
x2009_huaweicut,x2009_huaweicut,1,x2009_huaweicut:primary,7,2180,adverse,downstream,true,acute_exponential,0,0.7,legacy_equal_split,true,,logic_ai=0|design=0|memory_fab=0|osat=0|m_consumer=0
x2009_nvarm,x2009_nvarm,1,x2009_nvarm:primary,3,2182,mixed,downstream,false,strategic_context,0,0,none,false,not_operational,
x2009_smicrestrict,x2009_smicrestrict,1,x2009_smicrestrict:primary,5,2169,adverse,both,true,acute_exponential,0,0.5,legacy_equal_split,true,,mature_fab=0|depo=0|etch=0|litho=0|metro=0
x2010_amdxilinx,x2010_amdxilinx,1,x2010_amdxilinx:primary,2,2138,mixed,downstream,false,strategic_context,0,0,none,false,not_operational,
x2011_asetest,x2011_asetest,1,x2011_asetest:primary,3,2133,adverse,downstream,false,strategic_context,0,0,none,false,not_operational,
x2012_autoshort,x2012_autoshort,1,x2012_autoshort:primary,6,2093,adverse,downstream,true,acute_exponential,0,0.6,legacy_equal_split,true,,mature_fab=0|analog=0|m_auto=0
x2012_smicel,x2012_smicel,1,x2012_smicel:primary,6,2086,adverse,both,true,acute_exponential,0,0.6,legacy_equal_split,true,,mature_fab=0|adv_fab=0|litho=0|depo=0|etch=0|metro=0
x2101_autocuts,x2101_autocuts,1,x2101_autocuts:primary,6,2065,adverse,downstream,true,acute_exponential,0,0.6,legacy_equal_split,true,,m_auto=0|analog=0|mature_fab=0
x2102_eo14017,x2102_eo14017,1,x2102_eo14017:primary,3,2018,mitigating,downstream,false,strategic_context,0,0,none,false,not_operational,
x2103_intel20b,x2103_intel20b,1,x2103_intel20b:primary,3,1991,mitigating,downstream,false,strategic_context,0,0,none,false,not_operational,
x2104_twdrought,x2104_twdrought,1,x2104_twdrought:primary,4,1977,adverse,downstream,false,strategic_context,0,0,none,false,not_operational,
x2106_kingyuan,x2106_kingyuan,1,x2106_kingyuan:primary,5,1909,adverse,downstream,true,acute_exponential,0,0.5,legacy_equal_split,true,,osat=0|m_consumer=0|analog=0
x2106_review100,x2106_review100,1,x2106_review100:primary,3,1914,mitigating,downstream,false,strategic_context,0,0,none,false,not_operational,
x2108_toyota40,x2108_toyota40,1,x2108_toyota40:primary,6,1842,adverse,downstream,true,acute_exponential,0,0.6,legacy_equal_split,true,,m_auto=0|analog=0|osat=0
x2109_cnpower,x2109_cnpower,1,x2109_cnpower:primary,5,1804,adverse,downstream,true,acute_exponential,0,0.5,legacy_equal_split,true,,substrates=0|osat=0|systems=0
x2110_abf,x2110_abf,1,x2110_abf:primary,5,1799,adverse,downstream,true,acute_exponential,0,0.5,legacy_equal_split,true,,substrates=0|adv_pkg=0|logic_ai=0|m_ai=0
x2110_tsmcjapan,x2110_tsmcjapan,1,x2110_tsmcjapan:primary,2,1786,mitigating,downstream,false,strategic_context,0,0,none,false,not_operational,
x2112_xian,x2112_xian,1,x2112_xian:primary,5,1716,adverse,downstream,true,acute_exponential,0,0.5,legacy_equal_split,true,,memory_fab=0|m_consumer=0
x2201_asmlfire,x2201_asmlfire,1,x2201_asmlfire:primary,4,1705,adverse,downstream,true,acute_exponential,0,0.4,legacy_equal_split,true,,litho=0|adv_fab=0
x2201_intelohio,x2201_intelohio,1,x2201_intelohio:primary,2,1687,mitigating,downstream,false,strategic_context,0,0,none,false,not_operational,
x2202_nvarmdead,x2202_nvarmdead,1,x2202_nvarmdead:primary,2,1669,mixed,downstream,false,strategic_context,0,0,none,false,not_operational,
x2206_memoryglut,x2206_memoryglut,1,x2206_memoryglut:primary,4,1527,mixed,downstream,false,strategic_context,0,0,none,false,not_operational,
x2208_a100,x2208_a100,1,x2208_a100:primary,6,1465,adverse,downstream,true,acute_exponential,0,0.6,legacy_equal_split,true,,logic_ai=0|m_ai=0
x2208_eda,x2208_eda,1,x2208_eda:primary,5,1484,adverse,both,true,acute_exponential,0,0.5,legacy_equal_split,true,,eda=0|design=0|adv_fab=0
x2210_uspersons,x2210_uspersons,1,x2210_uspersons:primary,6,1423,adverse,both,true,acute_exponential,0,0.6,legacy_equal_split,true,,depo=0|etch=0|metro=0|memory_fab=0|adv_fab=0
x2210_veu,x2210_veu,1,x2210_veu:primary,3,1425,mitigating,downstream,true,acute_exponential,0,0.3,legacy_equal_split,true,,memory_fab=0
x2211_capexcut,x2211_capexcut,1,x2211_capexcut:primary,4,1389,mixed,upstream,false,strategic_context,0,0,none,false,not_operational,
x2211_rapidus,x2211_rapidus,1,x2211_rapidus:primary,2,1393,mitigating,downstream,false,strategic_context,0,0,none,false,not_operational,
x2212_tsmcaz40,x2212_tsmcaz40,1,x2212_tsmcaz40:primary,2,1368,mitigating,downstream,false,strategic_context,0,0,none,false,not_operational,
x2212_ymtc,x2212_ymtc,1,x2212_ymtc:primary,6,1359,adverse,both,true,acute_exponential,0,0.6,legacy_equal_split,true,,memory_fab=0|depo=0|etch=0|metro=0
x2302_chipsguardrails,x2302_chipsguardrails,1,x2302_chipsguardrails:primary,3,1263,adverse,downstream,false,strategic_context,0,0,none,false,not_operational,
x2304_samsungcut23,x2304_samsungcut23,1,x2304_samsungcut23:primary,4,1246,mixed,upstream,false,strategic_context,0,0,none,false,not_operational,
x2305_micronban,x2305_micronban,1,x2305_micronban:primary,5,1202,adverse,downstream,true,acute_exponential,0,0.5,legacy_equal_split,true,,memory_fab=0|m_consumer=0
x2307_tsmcazdelay,x2307_tsmcazdelay,1,x2307_tsmcazdelay:primary,3,1142,adverse,downstream,false,strategic_context,0,0,none,false,not_operational,
x2308_outbound,x2308_outbound,1,x2308_outbound:primary,4,1122,adverse,downstream,false,strategic_context,0,0,none,false,not_operational,
x2309_euchips,x2309_euchips,1,x2309_euchips:primary,2,1079,mitigating,downstream,false,strategic_context,0,0,none,false,not_operational,
x2310_biren,x2310_biren,1,x2310_biren:primary,4,1053,adverse,downstream,true,acute_exponential,0,0.4,legacy_equal_split,true,,logic_ai=0|design=0|adv_fab=0
x2310_kioxiawd,x2310_kioxiawd,1,x2310_kioxiawd:primary,2,1044,mixed,downstream,false,strategic_context,0,0,none,false,not_operational,
x2312_hbmturn,x2312_hbmturn,1,x2312_hbmturn:primary,4,1008,mixed,downstream,false,strategic_context,0,0,none,false,not_operational,
x2401_duvrevoke,x2401_duvrevoke,1,x2401_duvrevoke:primary,5,977,adverse,both,true,acute_exponential,0,0.5,legacy_equal_split,true,,litho=0|mature_fab=0|adv_fab=0
x2402_jasm,x2402_jasm,1,x2402_jasm:primary,2,923,mitigating,downstream,false,strategic_context,0,0,none,false,not_operational,
x2403_intelaward,x2403_intelaward,1,x2403_intelaward:primary,2,898,mitigating,downstream,false,strategic_context,0,0,none,false,not_operational,
x2404_awards,x2404_awards,1,x2404_awards:primary,2,872,mitigating,downstream,false,strategic_context,0,0,none,false,not_operational,
x2405_301,x2405_301,1,x2405_301:primary,4,843,adverse,downstream,false,strategic_context,0,0,none,false,not_operational,
x2407_fdprleak,x2407_fdprleak,1,x2407_fdprleak:primary,3,779,adverse,downstream,false,strategic_context,0,0,none,false,not_operational,
x2409_gaafet,x2409_gaafet,1,x2409_gaafet:primary,4,729,adverse,both,true,market_exponential,0.00001328,0.4,curated,true,,adv_fab=0.00000106|eda=0.00000133|depo=0.00000133|metro=0.00000133
x2410_asmlbookings,x2410_asmlbookings,1,x2410_asmlbookings:primary,4,689,mixed,upstream,false,strategic_context,0,0,none,false,not_operational,
x2411_tsmcchina7nm,x2411_tsmcchina7nm,1,x2411_tsmcchina7nm:primary,6,662,adverse,downstream,true,market_exponential,0.00003728,0.6,curated,true,,adv_fab=0.00000559|logic_ai=0.00000671|design=0.00000783
x2412_nvidiaprobe,x2412_nvidiaprobe,1,x2412_nvidiaprobe:primary,3,634,adverse,downstream,false,strategic_context,0,0,none,false,not_operational,
x2501_foundryrule,x2501_foundryrule,1,x2501_foundryrule:primary,5,597,adverse,both,true,market_exponential,0.00010147,0.5,curated,true,,adv_fab=0.00001776|adv_pkg=0.00001776|osat=0.00001522|logic_ai=0.00001268
x2502_tungsten,x2502_tungsten,1,x2502_tungsten:primary,5,577,adverse,downstream,true,market_exponential,0.00013808,0.5,curated,true,,gases=0.00003452|analog=0.00001381|substrates=0.00002416
x2503_tsmc100,x2503_tsmc100,1,x2503_tsmc100:primary,2,550,mitigating,downstream,false,strategic_context,0,0,none,false,not_operational,
x2504_232,x2504_232,1,x2504_232:primary,3,508,adverse,downstream,false,strategic_context,0,0,none,false,not_operational,
x2504_tariffs,x2504_tariffs,1,x2504_tariffs:primary,4,520,mixed,downstream,false,strategic_context,0,0,none,false,not_operational,
x2505_eda,x2505_eda,1,x2505_eda:primary,6,464,adverse,both,true,persistent_policy,0,0.6,curated,false,zero_persistence_at_evaluation_date,
x2505_gulf,x2505_gulf,1,x2505_gulf:primary,3,478,mitigating,downstream,false,strategic_context,0,0,none,false,not_operational,
x2506_reelicense,x2506_reelicense,1,x2506_reelicense:primary,4,434,mitigating,downstream,true,market_exponential,0.00124949,0.4,curated,true,,gases=-0.00027489|analog=-0.00009996|m_auto=-0.00014994
x2507_edalift,x2507_edalift,1,x2507_edalift:primary,5,428,mitigating,downstream,true,market_exponential,0.00137047,0.5,curated,true,,eda=-0.0004454|design=-0.00030836
x2507_malaysia,x2507_malaysia,1,x2507_malaysia:primary,3,417,adverse,downstream,false,strategic_context,0,0,none,false,not_operational,
x2508_revshare,x2508_revshare,1,x2508_revshare:primary,3,389,mixed,downstream,false,strategic_context,0,0,none,false,not_operational,
x2508_veurevoke,x2508_veurevoke,1,x2508_veurevoke:primary,6,371,adverse,both,true,persistent_policy,1,0.6,curated,true,,memory_fab=0.27|depo=0.24|etch=0.24|metro=0.24|litho=0.18
x2509_affiliates,x2509_affiliates,1,x2509_affiliates:primary,5,340,adverse,both,true,market_exponential,0.00531559,0.5,curated,true,,depo=0.00093023|etch=0.00093023|metro=0.00093023|mature_fab=0.00053156|memory_fab=0.00066445
x2510_ports,x2510_ports,1,x2510_ports:primary,3,325,adverse,downstream,false,strategic_context,0,0,none,false,not_operational,
